"counties","perWater"
"Kenosha",2.598
"Lafayette",0.218
"Rock",0.897
"Walworth",4.003
"Green",0.174
"Racine",2.198
"Jefferson",4.853
"Waukesha",4.281
"Iowa",0.725
"Milwaukee",0.394
"Grant",2.745
"Dane",3.196
"Crawford",5.742
"Richland",0.491
"Washington",1.271
"Ozaukee",0.737
"Dodge",3.973
"Sauk",1.318
"Columbia",3.114
"Vernon",2.871
"Sheboygan",0.616
"Fond du Lac",5.677
"Marquette",2.944
"Green Lake",7.472
"La Crosse",6.302
"Monroe",0.822
"Waushara",2.026
"Juneau",4.371
"Adams",6.329
"Winnebago",24.549
"Calumet",19.547
"Manitowoc",0.82
"Outagamie",0.885
"Jackson",1.483
"Trempealeau",1.237
"Buffalo",4.431
"Wood",1.951
"Waupaca",1.999
"Portage",2.024
"Brown",1.079
"Pepin",6.581
"Kewaunee",0.247
"Eau Claire",1.193
"Pierce",3.164
"Shawano",1.875
"Clark",0.389
"Marathon",1.943
"Menominee",2.013
"Dunn",1.272
"Saint Croix",2.102
"Chippewa",3.181
"Door",1.226
"Taylor",1.322
"Oconto",2.045
"Langlade",1.927
"Lincoln",2.819
"Rusk",2.358
"Barron",3.324
"Polk",4.239
"Marinette",2.185
"Oneida",9.894
"Price",2.394
"Florence",2.555
"Forest",3.602
"Sawyer",7.823
"Washburn",6.328
"Burnett",6.857
"Vilas",15.313
"Iron",6.399
"Ashland",1.959
"Douglas",2.881
"Bayfield",2.538
